folder,ENSEIGNE,ville,adresse,CP,ADRESSE ,VILLE,ADRESSE,siret
CHIEN QUI FUME (Le) - 75001 PARIS - 33 Rue du PONT-NEUF,LE_CHIEN_QUI_FUME,,,,33 RUE DU PONT NEUF,PARIS,33 RUE DU PONT NEUF; 75001 PARIS,31013032300028
CIAL - 75001 PARIS - rue Mondétour - 16,CIAL_SARL,,,,2 RUE DE LA PETITE TRUANDERIE,PARIS,2 RUE DE LA PETITE TRUANDERIE; 75001 PARIS,48786663400016
CLAUDIA - 75015 PARIS - 51 Avenue de La MOTTE-PICQUET,CLAUDIA,,,,,,,30971680100027
CLOS BOURGUIGNON (Le) - 75009 PARIS - 39 Rue CAUMARTIN,LE_CLOS_BOURGUIGNON_SARL,PARIS,,75009.0,,,,39260504400016
COMPAGNIE (La) - 75017 PARIS - 123 Av de WAGRAM,LA_COMPAGNIE,PARIS,,75017.0,123 AVENUE DE WAGRAM,PARIS,123 AVENUE DE WAGRAM; 75017 PARIS,53423165900028
COMPTOIR BROCHANT - 47 Rue BROCHANT - 75017 PARIS,COMPTOIR_BROCHANT,,,,,PARIS,47 Rue BROCHANT,53258418200028
COMPTOIR LOZ,LE_COMPTOIR_LOZ,,,,2 RUE DES HUISSIERS,NEUILLY-SUR-SEINE,2 RUE DES HUISSIERS; 92200 NEUILLY-SUR-SEINE,33765583100010
CORDONNERIE - 75016 PARIS - 35 Rue de L'ANNONCIATION,,PARIS,,75016.0,,,,
DA ROSA - 75001 PARIS - 7 Rue ROUGET de l'ISLE,EPICERIE-CANTINE_DA_ROSA,PARIS,,75001.0,7 RUE ROUGET DE L'ISLE,PARIS,7 RUE ROUGET DE L'ISLE; 75001 PARIS,75239417100017
DEI FRATELLI - 75001 PARIS - 10 Rue des PYRAMIDES,CAFFE_DEI_FRATELLI,PARIS,,75001.0,,,,83995102700011
DEPART (LE) - 1 Rue du ROCHER - 75008 PARIS,AU_DEPART,,,,,PARIS,1 Rue du ROCHER,33443868600019
DIPLOMATE (Le)- 75016 PARIS - 15 Rue SINGER,LE_DIPLOMATE,PARIS,,75016.0,17 RUE SINGER,PARIS,17 RUE SINGER; 75016 PARIS,83389469400011
DODDY'S - 75017 PARIS - 80 Rue Mstislav ROSTROPOVITCH,SARL_BATI_DODDYS,PARIS,,75017.0,,,,84275832800012
EL SOL - 75008 - 22 RUE DE PONTHIEU,EL_SOL,,,,,,,50186386400028
FAJITAS - 75006 PARIS - 15 Rue DAUPHINE,FAJITAS,PARIS,,75006.0,15 RUE DAUPHINE,PARIS,15 RUE DAUPHINE; 75006 PARIS,43426634200014
GENTLEMEN - JARDINS DE L'ARCHE - 92000 NANTERRE,LES_GENTLEMEN,NANTERRE,,92000.0,,,,80449572900035
GERMAIN - 94340 - JOINVILLE LE PONT - quai de la Marne,FODAGA,,,,,,,90998053400012
GRAND CARNOT (Le) - 75017 PARIS - 32 av CARNOT ang 40 Rue des ACACIAS,LE_GRAND_CARNOT,PARIS,,75017.0,32 AVENUE CARNOT,PARIS,32 AVENUE CARNOT; 75017 PARIS,79895243800017
GRILLON - SARL LE SUQUET,LE_SUQUET,,GRILLON - SARL LE SUQUET,,19 RUE FALGUIÈRE,PARIS,19 RUE FALGUIÈRE; 75015 PARIS,40276375900014
GROUPE - MONCEAU FLEURS,,,GROUPE - MONCEAU FLEURS,,,,,
GROUPE DORR,,,,,,,,
GYMNASE (LE) -  208 Bld RASPAIL - 75014 PARIS,CAFE_BAR_LE_GYMNASE,,,,,PARIS,208 Bld RASPAIL,31677872900012
HIPPOPOTAMUS BASTILLE - 75004 PARIS - 1 Bld BEAUMARCHAIS,,PARIS,,75004.0,1 BOULEVARD BEAUMARCHAIS,PARIS,1 BOULEVARD BEAUMARCHAIS; 75004 PARIS,
HOTEL LOUIS II (H.BOUDAHOUT)- 2 rue Saint Sulpice 75006 PARIS,,,HOTEL LOUIS II (H.BOUDAHOUT)- 2 rue Saint Sulpice 75006 PARIS,,,,,
HOTEL TOUR EFFEIL - 75007 - RUE DE L'EXPOSITION,,,,,,,,
IL PARADISIO - 75017 PARIS - 30 RUE LEGENDRE,IL_PARADISO_RISTORANTE_&_PIZZERIA,PARIS,,75017.0,,,,50121776400023
IMMEUBLE APT + MURS (H.BOUDAHOUT)- 6 rue du Général de Gaulle 78120 RAMBOUILLET,,,IMMEUBLE APT + MURS  (H.BOUDAHOUT)- 6 rue du Général de Gaulle 78120 RAMBOUILLET,,,,,
JAD - PARIS 75002 - 35 Bld BONNE NOUVELLE,BISTROT_JAD,,,,,,,92531815600013
LE DIPLOMATE - Place SINGER - 75016 PARIS,LE_DIPLOMATE,,,,,PARIS,Place SINGER,83389469400011
LESCOT - FONCIERE ANTONIN,,,LESCOT - FONCIERE ANTONIN,,,,,
LOUIS XVI - 75008 PARIS - 47 Rue des MATHURINS,LE_LOUIS_XVI,,,,,PARIS,47 Rue des MATHURINS,50528188100027
MADELEINE 7 (Le) - 75001 PARIS - 7 Bld de La MADELEINE,,PARIS,,75001.0,7 BOULEVARD DE LA MADELEINE,PARIS,7 BOULEVARD DE LA MADELEINE; 75001 PARIS,
MAISON DE L'INFANTE - 64500 SAINT JEAN DE LUZ - 1 Rue de l'INFANTE,,SAINT,,64500.0,,,,
MAISON MULOT - 75006 - RUE DE SEINE,MAISON_MULOT,,,,,,,32930252500020
MAMMA ROMA - 55 Rue du CHERCHE MIDI - 75006 PARIS,MAMMA_ROMA,PARIS,,75006.0,,,,80432487900019
MANHATTAN TERRAZZA - 108 Av de VILLIERS - 75017 PARIS,BISTRO_DU_XVIIEME-_MANHATTAN_TERRAZZA,PARIS,,75017.0,,,,33920118800010
MARCEAU - Av MARCEAU - 75016 PARIS,MARCEAU,,,,,PARIS,Av MARCEAU,45229220400024
MARÉCHAL BRUNE,AU_MARECHAL_BRUNE,,,,9 BOULEVARD BRUNE,PARIS,9 BOULEVARD BRUNE; 75014 PARIS,38121657100012
MIZON - 75009 - 3 RUE DE LA GRANGE BATTELIERE,,,,,,,,
MIZON - 75010 - 37 QUAI DE VALMY,,,,,,,,
MONSIEUR LE ZINC - 75006 PARIS - R-15 rue MONSIEUR LE PRINCE,,,,,,,,
MONTCASTEL SARL - Patrick NONNET,VERSAILLES_AVENUE,,,,,,,79903742900047
MURS BOULANGERIE - HANNECART,,,MURS BOULANGERIE - HANNECART,,,,,
MURS BUREAUX 61 Rennes 75006,,,,,,,,
MUSEE DU CHOCOLAT - 14 AVENUE BEAURIVAGE - 64200 BIARRITZ,,BIARRITZ,,64200.0,,,,
NOMAD'S - 12 Place du MARCHE SAINT HONORÉ - 75001 PARIS,,PARIS,,75001.0,12 RUE DU MARCHÉ SAINT HONORÉ,PARIS,12 RUE DU MARCHÉ SAINT HONORÉ; 75001 PARIS,
NOVIMENTO - 75008 PARIS - 11 Rue TRONCHET,,PARIS,,75008.0,,,,
O'NIEL - 75006 - 20 RUE DES CANNETTES,O_NEIL,,,,,,,38118030600023
PACHYDERME - 2 BD SAINTMARTIN 75010 PARIS,LE_PACHYDERME,,PACHYDERME - 2 BD SAINTMARTIN 75010 PARIS,,,,,48132606400013
PAOLA - 94300 VINCENNES - 60 Rue de MONTREUIL,PAOLA,VINCENNES,,94300.0,60 RUE DE MONTREIL,VINCENNES,60 RUE DE MONTREIL; 94300 VINCENNES,89918997100018
PAPARAZZI - 75009 PARIS - 6 Square de l'OPÉRA - Louis JOUVET,PAPARAZZI,,,,6 SQUARE DE L'OPÉRA,PARIS,6 SQUARE DE L'OPÉRA; 75009 PARIS,43757220900017
PATISSERIE DE L'OLYMPIA - 2 Rue de SÈZE - 75009 PARIS,PATISSERIE_DE_L_OLYMPIA,,,,,PARIS,2 Rue de SÈZE,34027633600021
PAVE (Le) - 75003 PARIS - 7 Rue des LOMBARDS,LE_PAVE,PARIS,,75003.0,,,,49918215200045
