,Unnamed: 0.1,folder,ENSEIGNE,Unnamed: 0,ville,adresse,CP_x,TYPE DE VENTE,RAISON SOCIAL,EN VENTE,GÉRANCE LIBRE,ADRESSE ,CP_y,VILLE,ADRESSE,AFFAIRE,Colonne1,siret,CP
99,101,IMMEUBLE APT + MURS  (H.BOUDAHOUT)- 6 rue du Général de Gaulle 78120 RAMBOUILLET,,101.0,,IMMEUBLE APT + MURS  (H.BOUDAHOUT)- 6 rue du Général de Gaulle 78120 RAMBOUILLET,,,,,,,,,,,,,
100,102,IMMEUBLE CHAUSSÉE D'ANTIN,,102.0,,,,,,,,,,,,,,,
101,103,IMMEUBLE VERSAILLES,,103.0,,,,,,,,,,,,,,,
102,104,MURS BOULANGERIE - HANNECART,,104.0,,MURS BOULANGERIE - HANNECART,,,,,,,,,,,,,
103,105,MURS BUREAUX 61 Rennes 75006,,105.0,,,,,,,,,,,,,,,
104,106,CERTAS,,106.0,,,,,,,,,,,,,,,
105,107,GROUPE - MONCEAU FLEURS,,107.0,,GROUPE - MONCEAU FLEURS,,,,,,,,,,,,,
106,108,LESCOT - FONCIERE ANTONIN,,108.0,,LESCOT - FONCIERE ANTONIN,,,,,,,,,,,,,
109,111,AMBASSADE D'AUVERGNE,,111.0,,,,,,NON VENDEUR,,22 RUE DU GRENIER SAINT-LAZARE,75003.0,PARIS,22 RUE DU GRENIER SAINT-LAZARE; 75003 PARIS,AMBASSADE D'AUVERGNE - ,,,
110,112,AVENIR - 104 Rue Sadi Carnot - 92 VANVES,,112.0,,,,,,VENTE EN PORTEFEUILLE,,104 RUE SADI CARNOT,92170.0,VANVES,104 RUE SADI CARNOT; 92170 VANVES,AVENIR - ,,,
111,113,BEAUX PARLEURS - SAS JADE - 35 Bld BONNE NOUVELLE - 75002 PARIS,,113.0,,,,,,,,,,,,,,,
113,116,BOULANGERIE - 48 Bld Gouvioon St Cyr - 75017 PARIS,,116.0,PARIS,,75017.0,,,,,,,,,,,,
